FECHA_DESEMBOLSO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,MONTO_BBP_SOSTENIBLE,GRADO_BONO_SOSTENIBLE,FECHA_CORTE
20220125,LIMA,LIMA,BRENIA,150105,CONTINENTAL,BANCO,201023.00,24048.00,300.00,7.50,240471.00,15400.00,3,20230525
20220125,LIMA,LIMA,BRENIA,150105,CONTINENTAL,BANCO,225191.00,49000.00,240.00,7.35,289591.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,83900.00,46200.00,180.00,7.50,154000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,124100.00,36000.00,300.00,7.50,184000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,98300.00,30000.00,180.00,7.35,152200.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,71000.00,54100.00,276.00,7.30,149000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,114700.00,15400.00,300.00,7.99,154000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,112000.00,15100.00,180.00,8.00,151000.00,23900.00,3,20230525
20220131,PIURA,PIURA,26 DE OCTUBRE,200115,FINANCIERA EFECTIVA S. A,FINANCIERA,54400.00,20000.00,96.00,9.35,100000.00,25600.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,82100.00,112000.00,300.00,7.99,218000.00,23900.00,3,20230525
20220121,LIMA,LIMA,LIMA,150101,BANBIF,BANCO,242573.00,28664.00,240.00,7.75,286637.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,73391.00,10999.00,240.00,8.50,109990.00,25600.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,118549.00,11551.00,240.00,7.99,154000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,61100.00,52000.00,240.00,8.50,137000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,73390.00,11000.00,240.00,8.00,109990.00,25600.00,3,20230525
20220131,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,83446.00,19244.00,180.00,7.20,128290.00,25600.00,3,20230525
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,89870.00,12830.00,120.00,8.20,128300.00,25600.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,169510.00,21490.00,240.00,8.00,214900.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CREDITO,BANCO,151191.00,30899.00,240.00,8.20,205990.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,89060.00,28240.00,300.00,8.20,141200.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,BANBIF,BANCO,161843.77,30000.00,180.00,8.30,215743.77,23900.00,3,20230525
20220131,ICA,ICA,ICA,110101,CMAC ICA,CMAC,83902.00,23198.00,240.00,10.70,131000.00,23900.00,2,20230525
20220131,ICA,ICA,ICA,110101,CMAC ICA,CMAC,100100.00,14000.00,180.00,10.70,138000.00,23900.00,2,20230525
20220131,ICA,ICA,ICA,110101,EDPYME MICASITA,EDPYME,103000.00,50000.00,120.00,9.10,176900.00,23900.00,2,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,113023.00,41177.00,240.00,8.20,178100.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,120.00,8.20,109200.00,25600.00,3,20230525
20220131,LA LIBERTAD,TRUJILLO,HUANCHACO,130104,CREDITO,BANCO,100300.00,13800.00,240.00,7.20,138000.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,61760.00,21840.00,240.00,7.80,109200.00,25600.00,3,20230525
20220131,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,119291.00,35799.00,120.00,8.20,178990.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,143300.00,45900.00,300.00,7.20,213100.00,23900.00,3,20230525
20220131,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,155641.00,19949.00,120.00,8.20,199490.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,120910.00,16090.00,240.00,8.50,160900.00,23900.00,3,20230525
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,143290.00,29505.00,180.00,9.50,196695.00,23900.00,1,20230525
20220131,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,165760.00,28340.00,300.00,7.70,218000.00,23900.00,2,20230525
20220131,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,151115.00,30885.00,180.00,7.90,205900.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CREDITO,BANCO,156682.00,20065.00,180.00,8.40,200647.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,113710.00,15290.00,240.00,8.00,152900.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,120.00,9.10,109200.00,25600.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,135760.00,17740.00,240.00,8.00,177400.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,61760.00,21840.00,240.00,9.62,109200.00,25600.00,3,20230525
20220131,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,83446.00,19244.00,120.00,7.20,128290.00,25600.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,85650.00,19650.00,120.00,8.20,130900.00,25600.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,240.00,8.30,109200.00,25600.00,3,20230525
20220131,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,83445.70,19244.30,180.00,7.20,128290.00,25600.00,3,20230525
20220131,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,155641.00,19949.00,120.00,7.20,199490.00,23900.00,3,20230525
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,110620.00,33630.00,120.00,10.60,168150.00,23900.00,1,20230525
20220131,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,83446.00,19244.00,120.00,7.20,128290.00,25600.00,3,20230525
20220131,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,128240.00,26850.00,240.00,8.20,178990.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,171490.00,21710.00,240.00,7.60,217100.00,23900.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,117328.00,15692.00,300.00,8.20,156920.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,131170.00,17230.00,240.00,7.40,172300.00,23900.00,3,20230525
20220131,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,70617.00,32073.00,120.00,8.20,128290.00,25600.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,180.00,8.20,109200.00,25600.00,3,20230525
20220131,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,119292.00,35798.00,120.00,8.20,178990.00,23900.00,3,20230525
20220125,LA LIBERTAD,TRUJILLO,MOCHE,130107,BANCO PICHINCHA,BANCO,110100.00,16000.00,120.00,9.50,150000.00,23900.00,2,20230525
20220125,LIMA,LIMA,COMAS,150110,BANCO PICHINCHA,BANCO,99300.00,30800.00,240.00,8.50,154000.00,23900.00,3,20230525
20220125,PIURA,PIURA,26 DE OCTUBRE,200115,BANCO PICHINCHA,BANCO,106600.00,14500.00,180.00,10.00,145000.00,23900.00,2,20230525
20220125,CUSCO,CUSCO,SAN JERONIMO,080104,BANCO PICHINCHA,BANCO,78400.00,25000.00,60.00,10.00,129000.00,25600.00,1,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,125230.00,16570.00,180.00,7.80,165700.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,92635.00,20565.00,120.00,8.20,137100.00,23900.00,3,20230525
20220131,LIMA,LIMA,ATE,150103,BANBIF,BANCO,116100.00,59000.00,120.00,7.65,199000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,105200.00,30000.00,120.00,7.35,159100.00,23900.00,3,20230525
20220131,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,160903.00,20986.00,240.00,8.00,205789.00,23900.00,2,20230525
20220107,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,70390.00,14000.00,300.00,7.99,109990.00,25600.00,3,20230525
20220107,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,73390.00,11000.00,240.00,7.99,109990.00,25600.00,3,20230525
20220107,LIMA,LIMA,COMAS,150110,SCOTIABANK,BANCO,171040.00,21660.00,240.00,7.80,216600.00,23900.00,3,20230525
20220107,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,114700.00,15400.00,300.00,7.50,154000.00,23900.00,3,20230525
20220107,AREQUIPA,AREQUIPA,YURA,040128,CONTINENTAL,BANCO,93415.00,20000.00,201.00,8.50,137315.00,23900.00,2,20230525
20220107,LIMA,LIMA,SAN MARTIN DE PORRES,150135,INTERBANK,BANCO,164676.20,20952.00,240.00,7.70,209520.00,23900.00,2,20230525
20220107,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,80496.00,19894.00,120.00,7.50,125990.00,25600.00,3,20230525
20220107,LIMA,LIMA,SAN MIGUEL,150136,SCOTIABANK,BANCO,153153.40,19672.60,240.00,8.80,196726.00,23900.00,3,20230525
20220131,ICA,ICA,ICA,110101,CMAC HUANCAYO,CMAC,118660.00,15840.00,240.00,9.71,158400.00,23900.00,2,20230525
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,66400.00,23000.00,180.00,8.20,115000.00,25600.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,132772.00,39168.00,240.00,8.00,195840.00,23900.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,50840.00,32760.00,120.00,8.20,109200.00,25600.00,3,20230525
20220131,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,172123.60,21580.00,120.00,8.00,215800.00,23900.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,155747.75,19960.00,300.00,8.30,199600.00,23900.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,171678.55,21730.00,240.00,8.35,217300.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,74800.00,42300.00,290.00,7.50,141000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,84000.00,36100.00,276.00,7.30,144000.00,23900.00,3,20230525
20220111,LIMA,LIMA,BARRANCO,150104,INTERBANK,BANCO,235311.75,38300.00,240.00,8.00,289000.00,15400.00,2,20230525
20220111,LIMA,LIMA,ATE,150103,CREDITO,BANCO,224535.00,42342.00,180.00,7.85,282277.00,15400.00,1,20230525
20220111,LIMA,LIMA,SAN MIGUEL,150136,SCOTIABANK,BANCO,212816.92,37804.20,240.00,7.10,266021.12,15400.00,3,20230525
20220111,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,210590.00,25110.00,240.00,7.70,251100.00,15400.00,3,20230525
